id,title,status,createdAt,updatedAt
1,Write project outline,IN_PROGRESS,2025-04-15 09:00:00,2025-08-20 22:45:06
2,Design task class,IN_PROGRESS,2025-04-15 10:30:00,2025-04-16 08:00:00
3,Implement CLI loop,TODO,2025-04-16 11:00:00,2025-04-16 11:00:00
4,Add save/load feature,DONE,2025-04-14 14:00:00,2025-04-15 10:00:00
5,Write input helper,IN_PROGRESS,2025-04-15 12:00:00,2025-04-17 09:00:00
6,Fix status transitions,TODO,2025-04-17 08:30:00,2025-04-17 08:30:00
7,Test file handler,DONE,2025-04-16 13:45:00,2025-04-17 10:00:00
8,Format task printing,TODO,2025-04-17 14:00:00,2025-04-17 14:00:00
9,Clean up code,IN_PROGRESS,2025-04-17 16:00:00,2025-04-18 09:00:00
10,Write documentation,TODO,2025-04-18 10:00:00,2025-04-18 10:00:00
